kind,recipe,pin,pad,net,seq,bench,minor_moves,shortcut,shot_origin_x,shot_origin_y,name,type,mode,instrument,chan,target,hi,lo,level,limit,shape,freq,conn,min,max,avg_count,avg_delay,nplc,his,los,settle_delay,abs_value,mrange,die,route
PIN,,1,rightm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,2,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,23,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,,24,leftm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECIPE,Maddy TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEP,Maddy TL,,,,1,,,,,,Settle after contact,delay,,,,,,,1000,,,,,,,,,,,,,,,,switch
STEP,Maddy TL,,,,2,,,,,,Force Current,current,apply,SMU,A,,23:left,2:right,0.01,2.000,,,"4A11,2B02",,,,,,,,,,,1,switch
STEP,Maddy TL,,,,3,,,,,,Settle after output ON,delay,,,,,,,200,,,,,,,,,,,,,,,,switch
STEP,Maddy TL,,,,4,,,,,,Kelvin Resistance,resistance,measure,SMU,A,,23:left,2:right,,,,,"4A11,2B02",,,1,0,1,,,0,,,1,switch
STEP,Maddy TL,,,,5,,,,,,Settle before DMM sense,delay,,,,,,,500,,,,,,,,,,,,,,,,switch
STEP,Maddy TL,,,,6,,,,,,Kelvin Voltage (DMM),voltage,measure,DMM,,,1:rightm,24:leftm,,,,,"2F01,4E12",,,1,0,1,,,0,,,1,switch
STEP,Maddy TL,,,,7,,,,,,Resistance Check,passfail,,,,Kelvin Resistance,,,,,,,,5,30,,,,,,,,,1,switch
STEP,Maddy TL,,,,8,,,,,,Release,open,,,,all,,,,,,,all,,,,,,,,,,,,switch
STEP,Maddy TL,,,,9,,,,,,Settle after release,delay,,,,,,,1000,,,,,,,,,,,,,,,,switch
SITE,Maddy TL,,,,1,,,,,,01G,,,,,,1,7,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,2,,,,,,01H,,,,,,1,8,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,3,,,,,,01I,,,,,,1,9,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,4,,,,,,01J,,,,,,1,10,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,5,,,,,,01K,,,,,,1,11,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,6,,,,,,01L,,,,,,1,12,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,7,,,,,,02F,,,,,,2,6,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,8,,,,,,02G,,,,,,2,7,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,9,,,,,,02H,,,,,,2,8,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,10,,,,,,02I,,,,,,2,9,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,11,,,,,,02J,,,,,,2,10,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,12,,,,,,02K,,,,,,2,11,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,13,,,,,,02L,,,,,,2,12,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,14,,,,,,02M,,,,,,2,13,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,15,,,,,,03E,,,,,,3,5,,,,,,,,,,,,,,,,,
SITE,Maddy TL,,,,16,,,,,,03F,,,,,,3,6,,,,,,,,,,,,,,,,,
